id,role,type,description,size/ratio,style line ref,source
sfx_roar,T-Rex roar (alert/chase),audio_sfx,"deep guttural tyrannosaur roar",3s,-,generate
sfx_step,T-Rex footstep thud,audio_sfx,"heavy ground-shaking single footstep thud",1s,-,generate
sfx_knife,knife swing,audio_sfx,"quick blade swish with soft impact",1s,-,generate
sfx_howl,werewolf howl at nightfall,audio_sfx,"distant chilling wolf howl",4s,-,generate
sfx_night,night ambience,audio_sfx,"night forest ambience with crickets and wind",10s looped,-,generate
p_sfx,"eat/drink/chest/cook/animal/hit feedback sounds",procedural_audio,"synthesized in code with WebAudio",-,-,procedural
m_nest,T-Rex nest structure mesh,3d_model,"giant dinosaur nest, wide shallow bowl of interwoven weathered branches and packed mud, moss tufts",~4000 tris,STYLE FORMULA,generate
m_barrel,hut decoration mesh,3d_model,"rustic wooden barrel, weathered oak staves with rusted iron bands, moss in seams",~2000 tris,STYLE FORMULA,generate
m_closet,hut interior decor mesh,3d_model,"rustic wooden wardrobe, open shelves with old books and folded clothes, closed lower doors",~3000 tris,STYLE FORMULA,generate
m_woodchest,Bill's gated storage mesh,3d_model,"large wooden storage chest, iron corner fittings, faded safety-orange stripe on the lid",~2500 tris,STYLE FORMULA,generate
m_knife3d,held survival knife mesh,3d_model,"compact survival knife, drop-point steel blade, leather-wrapped grip, orange cord loop",~1500 tris,STYLE FORMULA,generate
m_machete3d,held machete mesh,3d_model,"long jungle machete, broad nicked carbon-steel blade, riveted hardwood handle",~1500 tris,STYLE FORMULA,generate
m_torch3d,held torch mesh,3d_model,"handheld unlit wooden torch, gnarled shaft, oil-soaked cloth-wrapped head bound with cord",~1500 tris,STYLE FORMULA,generate
t_container,sea container wall texture,texture,"rusty corrugated shipping container wall, vertical ridges, chipped paint over rust",1024 seamless,STYLE FORMULA,generate
t_metalfloor,container floor texture,texture,"worn steel checker plate floor, scuffed metal with rust patches and dirt",1024 seamless,STYLE FORMULA,generate
t_trapdoor,lighthouse trapdoor top art,texture,"top-down square wooden trapdoor hatch in frame, iron strap hinges and pull ring",1024 flat,STYLE FORMULA,generate
ui_compass,HUD compass rose,ui,"round expedition compass rose dial, brass bezel, aged paper face, N E S W, orange needle",256 keyed,STYLE FORMULA,generate
ui_mapparch,expedition map backdrop,ui,"weathered blank expedition-map parchment, aged frayed edges, faint grid",1024 full-frame,STYLE FORMULA,generate
m_spino,ruins guardian mesh,3d_model,"Spinosaurus standing, massive spine sail, crocodile snout, mud-brown scarred hide",~sam3d,STYLE FORMULA,generate
m_tent,camping tent mesh (tinted red/yellow/blue),3d_model,"small triangular weathered canvas camping tent with guy ropes",~sam3d,STYLE FORMULA,generate
m_fountain,ruins square centerpiece,3d_model,"small round abandoned dry stone fountain, cracked mossy basin",~sam3d,STYLE FORMULA,generate
m_trexskel,ruins prop,3d_model,"weathered T-Rex skeleton collapsed on its side, bleached bones",~sam3d,STYLE FORMULA,generate
m_humanskel,ruins prop,3d_model,"human skeleton sprawled on the ground, aged bones",~sam3d,STYLE FORMULA,generate
m_altar,church altar (daily prayer),3d_model,"weathered stone church altar with cloth runner and candlesticks",~sam3d,STYLE FORMULA,generate
m_fridge,bar fridge (daily wine),3d_model,"old abandoned refrigerator, dented door ajar, rust streaks",~sam3d,STYLE FORMULA,generate
m_hans,camp NPC,3d_model,"rugged middle-aged camper man, beard, olive field jacket",~sam3d,STYLE FORMULA,generate
m_emily,camp NPC,3d_model,"young woman camper, red flannel shirt, ponytail",~sam3d,STYLE FORMULA,generate
m_timo,quest NPC,3d_model,"exhausted young man, torn blue hoodie, dusty jeans",~sam3d,STYLE FORMULA,generate
ui_wine,wine bottle inventory icon,ui,"old red wine bottle, dark green glass, faded torn label",128 keyed,STYLE FORMULA,generate
t_campdirt,camp ground texture,texture,"trampled campsite earth with boot prints and ash",1024 seamless,STYLE FORMULA,pending-credits
t_cobble,ruins village paths,texture,"medieval cobblestone path, worn stones, moss joints",1024 seamless,STYLE FORMULA,pending-credits
m_fence,camp fence segment,3d_model,"rustic wooden fence segment, two posts, split-log rails",~sam3d,STYLE FORMULA,pending-credits
m_campfire,camp fire pit base,3d_model,"large unlit campfire, charred logs over ash in a stone ring",~sam3d,STYLE FORMULA,pending-credits
ui_crocskin,croc skin inventory icon,ui,"rolled crocodile skin hide tied with cord",128 keyed,STYLE FORMULA,pending-credits
m_fountain_v2,ruins fountain (regen),3d_model,"round dry stone fountain with basin and center bowl",~sam3d,STYLE FORMULA,pending-credits
m_duco,Duco the Dutch shepherd (update 30 rebuild from the owner's photo),3d_model,"senior Dutch shepherd, dark brindle with tan legs and greying muzzle, standing, lifted from a nano_banana_pro reference of the real dog; procedural quadruped rig with mesh-found legs; 50% bigger than update 29",28k tris / 2K PBR,STYLE FORMULA,generate
m_dirk2,Dirk the farmer (update 30 rebuild with a real face),3d_model,"62-year-old Dutch farmer in an A-pose: flat cap, cream shirt, suspenders, boots; Tripo H3.1 detailed lift, Meshy rig with Casual_Walk + Idle clips (both skinned)",38k tris / 2K PBR,STYLE FORMULA,generate
m_door_front,farmhouse front door,3d_model,"forest-green four-panel door with a four-pane top light and brass knob/knocker in a white frame; leaf split off the frame in-engine",10k tris,STYLE FORMULA,generate
m_door_back,farmhouse kitchen back door,3d_model,"forest-green half-glazed door (six panes) in a white frame",10k tris,STYLE FORMULA,generate
m_fountain2,the farm's restored fountain,3d_model,"intact two-tier pale limestone garden fountain with carved rim, fitted to a 3.4 m footprint; water discs, finial jet and six spill streams added in-engine",19k tris,STYLE FORMULA,generate
m_kingbed2,king-size bed,3d_model,"carved dark walnut double bed with tall headboard, white linen, two pillows and a patchwork quilt; fitted to 2.0 m wide",23k tris,STYLE FORMULA,generate
m_k_range,kitchen cooking range,3d_model,"black cast-iron 19th-century range with brass rail and stove pipes; the farm's furnace",16k tris,STYLE FORMULA,generate
m_k_icebox,kitchen icebox,3d_model,"antique oak icebox with brass latches; the farm fridge (daily wine)",7k tris,STYLE FORMULA,generate
m_k_sink,kitchen sink unit,3d_model,"white Belfast sink in a cream cabinet with a tall brass tap; drink from the tap",12k tris,STYLE FORMULA,generate
m_k_counter,kitchen counter,3d_model,"cream drawer cabinet with a scrubbed oak worktop",9k tris,STYLE FORMULA,generate
m_k_table,kitchen table,3d_model,"rustic pine table with turned legs",8k tris,STYLE FORMULA,generate
m_k_chair,kitchen chair,3d_model,"pine ladder-back chair with a rush seat; a seat you can rest in",6k tris,STYLE FORMULA,generate
m_k_potrack,hanging pot rack,3d_model,"wooden beam on chains with copper pots and pans; hangs from the kitchen ceiling",13k tris,STYLE FORMULA,generate
m_k_hutch,Welsh dresser,3d_model,"oak hutch with blue-and-white plates and jugs",18k tris,STYLE FORMULA,generate
m_k_basket,bread basket,3d_model,"wicker basket with three loaves on a cloth, on the counter",7k tris,STYLE FORMULA,generate
m_k_shelf,jar shelf,3d_model,"wall shelf on iron brackets with preserve jars and bowls",9k tris,STYLE FORMULA,generate
m_k_herbs,herb rail,3d_model,"wall rail with hooks: dried herbs, garlic and onion strings",8k tris,STYLE FORMULA,generate
m_b_basin,bathroom washbasin,3d_model,"white pedestal basin with a brass cross-head tap; drink from the tap",9k tris,STYLE FORMULA,generate
m_b_mirror,bathroom mirror,3d_model,"oval mirror in a carved walnut frame, above the basin",6k tris,STYLE FORMULA,generate
m_b_towel,towel rail,3d_model,"brass rail on a wooden backplate with a folded white towel",5k tris,STYLE FORMULA,generate
m_b_cabinet,bathroom wall cabinet,3d_model,"white cabinet with a mirrored door, soap and brush below",6k tris,STYLE FORMULA,generate
m_hall_lamp,upstairs hall pendant,3d_model,"brass pendant with a frosted glass globe on a short chain",7k tris,STYLE FORMULA,generate
t_checker,kitchen floor tiles,texture,"black-and-white checkerboard marble tiles; black and white tile surfaces sampled from the generated image and set in a regular 8x8 grid with grout (seamless)",1024 basecolor+normal,STYLE FORMULA,generate
t_whitetile,kitchen and bathroom wall tiles,texture,"white glazed subway tiles with pale grout, aged glaze",1024 basecolor+normal,STYLE FORMULA,generate
t_mosaic,bathroom floor,texture,"black-and-white hexagonal mosaic tiles",1024 basecolor+normal,STYLE FORMULA,generate
t_cream,kitchen upper walls,texture,"cream lime-plaster paint with a soft brush texture",1024 basecolor+normal,STYLE FORMULA,generate
ui_rawbeef,raw beef inventory icon,ui_icon,"raw marbled beef steak, keyed off the magenta background",128x128 RGBA,STYLE FORMULA,generate
sfx_tap,tap water,sfx,"brass tap squeaks open, water gurgles into a ceramic basin, tap shuts",4 s,-,generate
sfx_fountain2,fountain jet,sfx,"steady garden fountain jet splashing into a stone basin, loopable",8 s,-,generate
p_autolegs,mesh-found quadruped legs,mechanic,"k-means on the vertices below the knee finds each leg's anchor and fence: cow and dog legs own a third of the mesh instead of 3%",-,-,procedural
p_stride,stride-paced gait,mechanic,"quadruped gait phase advances by distance covered (metres per cycle per plan)",-,-,procedural
p_spotlamps,down-facing indoor lamps,procedural_3d,"living room, kitchen and upstairs hall lit by SpotLights pointing down — no light through the floor",-,-,procedural
p_tap,drink from the tap,mechanic,"kitchen sink and bathroom basin taps: +10% energy, tap sound",-,-,procedural
p_rawbeef,raw beef,mechanic,"cows drop raw beef that cooks into cooked beef at any furnace or campfire",-,-,procedural
p_warmgpu,GPU warm-up,mechanic,"every texture uploaded and every shader linked behind the loading screen (renderer.initTexture + compile after the stage is complete)",-,-,procedural
p_1440cap,1440p render cap,mechanic,"the drawing buffer is capped at 2560x1440 worth of pixels on every scale; 4K panels get 1440p upscaled",-,-,procedural
p_instanced_farm,instanced bushes and fences,mechanic,"56 blueberry bushes and the pasture fence are single InstancedMeshes",-,-,procedural
p_farm_relocate,farm at spot B,mechanic,"the whole compound moved to (490,490) in the south-east corner; the outer tree bands and the corner fill respect landmarks now",-,-,procedural
m_leaf_front,farmhouse front door leaf,3d_model,"green four-panel door with a four-pane top light and brass knob, generated ALONE with no frame so it is never cut; its extruded knob spindle is clipped in-engine and a brass knob hung in its place",8k tris,STYLE FORMULA,generate
m_leaf_back,kitchen back door leaf,3d_model,"green half-glazed door, nine panes over two panels, generated alone with no frame",10k tris,STYLE FORMULA,generate
m_leaf_balc,balcony French door leaf,3d_model,"fully glazed green French door, eight panes and a brass lever; one type for all three balcony doorways",8k tris,STYLE FORMULA,generate
m_fridge2,monitor-top refrigerator,3d_model,"1930s white enamel refrigerator on curved legs with a chrome lever latch and the round black compressor drum on top; replaces the oak icebox that read as a cupboard",11k tris,STYLE FORMULA,generate
m_ladder,attic loft ladder,3d_model,"pine ladder with five rungs, standing in the hallway hatch",15k tris,STYLE FORMULA,generate
m_a_crates,attic crate stack,3d_model,"three weathered stencilled shipping crates stacked, attic storage",8k tris,STYLE FORMULA,generate
m_a_sacks,attic sacks,3d_model,"two burlap sacks and a small wooden box, attic storage",9k tris,STYLE FORMULA,generate
m_dirk3,Dirk the farmer (update 31 re-scan),3d_model,"same farmer, re-photographed in a TRUE A-pose with daylight between his legs and between each arm and his torso, so the auto-rig can tell his limbs apart; Tripo detailed lift, Meshy rig, walk + idle merged",39k tris / 2K PBR,STYLE FORMULA,generate
sfx_ladder,ladder climb,sfx,"boots on wooden rungs, dry wood creaking, a hand on the rail",3 s,-,generate
p_leafdoor,uncut door leaves,mechanic,"the leaf is generated on its own and the casing is built from trim boxes, so no door is ever split out of its frame by triangle sorting",-,-,procedural
p_despindle,knob spindle clip,mechanic,"a photographed doorknob is extruded into a spindle through the leaf; the leaf's own plane is measured and anything clear of it is dropped, then the slab is thinned to 7 cm and a brass knob added",-,-,procedural
p_attic,the attic,procedural_3d,"plank ceiling over the whole first floor (you could see over the walls into the roof void), knee walls under the rafters, a window in each gable, a hatch in the hallway with a guard rail, and a ladder you climb with F",-,-,procedural
p_clockface,clock face on its case,mechanic,"the case's front surface is measured in the dial's height band, so the working hands sit on its own dial instead of floating in front of it",-,-,procedural
p_fountainwater,measured fountain water,mechanic,"one pass over the fountain's vertices gives the radius of every height band, finding the basin and upper-bowl rims; water falls from the bowl to the basin as an unlit curtain",-,-,procedural
p_headyaw,baked-in head turn cancelled,mechanic,"a quadruped scanned with its head turned has that turn measured from the muzzle cluster and cancelled on the head bone, over a long neck ramp",-,-,procedural
p_spotporch,down-lit rooms,mechanic,"the living-room lamp became a down-facing spotlight, so no lamp downstairs lights the floor above through the boards",-,-,procedural
dirk4,Dirk the farmer,character_3d,"re-scanned in a true A-pose and lifted on a REAL humanoid skeleton (Meshy image_to_3d, rigging + Casual_Walk) with a separately rigged Idle merged in by bone name; the auto-rigger had guessed his joints from a photo and deformed a hand and a leg twice running",1.78 m,-,nano_banana_pro -> image_to_3d (rigged) + 3d_rigging (idle) -> glb_merge_anims
armchair,parlour armchair,prop_3d,carved dark-walnut Victorian armchair in the same forest-green velvet as the sofa; a second real seat across the living-room rug,1.02 m,"green + dark wood, matches sofa",nano_banana_pro -> image_to_3d
dogmat2,Duco's bed,prop_3d,"round bolster dog bed, padded rim all the way round a sunken quilted cushion, oatmeal and sage; replaces the flat disc that read as a wedge of cheese",0.24 m tall,-,nano_banana_pro -> image_to_3d
bplush,blueberry plushie,prop_3d,"plush blueberry with an embroidered smiley face and a green felt crown — Duco's toy, never an inventory item",0.26 m,-,nano_banana_pro -> image_to_3d
p_clockdial,"one clock, not two",mechanic,"the hood's front frame is measured at dial height and the biggest GAP in its z values is the glass opening; the drawn dial is sunk to the recessed surface behind the frame and sized to fill that gap, so no ring of the case's own painted face shows around it",-,-,procedural
p_cowbody,cows are solid,mechanic,"world.softBodies: a per-frame list of live cylinders that world.collide turns the player aside on, with the farm shoving the cow back in return — the engine had only ever known static boxes, which is why cows were walk-through",-,-,procedural
p_shedseal,cows keep to the shed's door,mechanic,"cow-only blockers plus a mouth waypoint: a cow whose stall is inside walks to the opening in line with it and only then straight in. The gaps behind and beside the shed are SEALED rather than walled, being narrower than a cow is wide",-,-,procedural
p_ducosit,Duco sits and looks up,mechanic,"a blended sit pose on the procedural quadruped rig: haunches fold, chest lifts, and the forelegs counter-rotate to stay planted; the neck pitch aims his eyes at yours. Walk on and he rises and follows",-,-,procedural
p_headshare,head turn fully cancelled,mechanic,"the muzzle only owns a SHARE of the head bone's rotation because of the neck's blend ramp, so cancelling a baked-in scan turn with the raw angle under-corrects; the share is measured and divided out",-,-,procedural
p_ducobed,Duco sleeps upstairs,mechanic,"at nightfall his path continues up the stairs to the king bed, where he lies on the mattress on one side so you can still sleep beside him; by day he walks back down to the garden",-,-,procedural
p_toyfetch,fetch,mechanic,"rest -> held -> flight -> fetch -> carried -> rest. Left-click throws, holding winds up a longer throw; Duco runs it down and drops it at your feet. Carrying it off the farm takes it out of your hands and returns it to its spot",-,-,procedural
dirk5,Dirk the farmer,character_3d,"the PREVIOUS Dirk (the natural colours you preferred) put on a real humanoid skeleton by Meshy 3d_rigging, walk + a separately rigged idle merged by bone name (66/66 channels). dirk4 retired: washed-out texture, paddle hands",1.78 m,-,dirk3.glb -> media_upload -> 3d_rigging x2 -> glb_merge_anims -> glb_shrink
p_clockerase,one clock,mechanic,"the case's texture carried a painted face WITH PAINTED HANDS; tools/glb_clock_hands.py paints the inner disc of that face back to its own white so only the numerals remain, and the game draws nothing but two moving hands on it",-,-,procedural
p_cowpush,cows never leave the pasture,mechanic,"a cow is pushed out of a block along the nearest face that STAYS INSIDE the pasture; the shed is one flagged block that stands aside for a cow inside it or in its doorway, and cows inside leave by the door",-,-,procedural
p_headsolve,"head forward, measured",mechanic,"the head bone's turn is solved by secant iteration against the skinned muzzle position so the residual yaw is zero on the result, instead of estimated from weights",-,-,procedural
p_ducoroute,Duco's night route,mechanic,kitchen door from the garden -> kitchen -> its door to the living room -> stairs -> upstairs hallway -> bedroom door -> bed; every leg inside a room or through a doorway,-,-,procedural
p_ducolie,Duco lies down,mechanic,"a blended lying pose on the quadruped rig: forelegs out ahead, hind legs tucked, body flat on the mattress",-,-,procedural
p_toyfence,the toy cannot leave,mechanic,a throw that crosses the farm boundary vanishes mid-air and the blueberry is back at its spot with a word about other people's toys,-,-,procedural
p_hotbarQE,Q/E cycle the hotbar,mechanic,"desktop keyboard: Q previous slot, E next slot, wrapping 8 -> 1 and 1 -> 8; digits still jump; Q/E no longer turn the camera; touch controls untouched",-,-,procedural
p_forest40,20 chests + 20 apple trees,content,"fixed spots in the expansion forest (153-630 m), clear of every landmark and of every existing chest and tree; generated once by work/u33/gen_forest_spots.py",-,-,procedural
dirk6,Dirk the farmer,character_3d,"built NEW to the user's spec (about 45, clean-shaven, stocky, tweed flat cap, muted plaid flannel, dark jeans, brown boots) from a reference posed for meshing: loose fists, clear gaps, muted colours. Meshy image_to_3d with rigging + Casual_Walk, a 3d_rigging Idle merged by bone name. dirk5 (old Dirk re-rigged) came back low-poly and faceted",1.78 m,-,nano_banana_pro -> image_to_3d (rigged) + 3d_rigging (idle) -> glb_merge_anims -> glb_shrink
p_selfcollide,creatures no longer collide with themselves,mechanic,"Creature.collideXZ resolves through world.collide, which since update 32 also held the cows' own live bodies — every cow met itself each frame and was thrown 1.2 m sideways (the crazy-fast circling herd). Creatures pass skipSoft; live bodies stop the player only. Proven by tools/headless/cowsim.mjs: 2.16 m/frame as shipped, 0.011 m/frame fixed",-,-,procedural
p_gaitclamp,gait never faster than the walk,mechanic,"the animation speed a creature reports is capped at the speed it was asked to move at, so a collision nudge can no longer spin the legs",-,-,procedural
p_noseaxis,"head forward, for real",mechanic,"the muzzle cluster is the head band's most FORWARD 5% (it used to be the farthest-from-neck 5%, which on a wide off-centre front is the shoulder); the head's axis is skull-top -> nose and is solved to zero on the skinned mesh. tools/headless/ducohead.mjs: residual -0.00 deg. Idle: straight, with a small glance every ~8 s",-,-,procedural
p_clockroman,a readable dial,mechanic,"a 512 px canvas dial with Roman numerals I-XII, a chapter ring and minute ticks fills the case's window in front of its painted (unreadable) face; the two moving hands and a brass pin sit on it",-,-,procedural
p_doortol,doorway waypoints are reached,mechanic,"a cow aiming at the shed door stops within 0.3 m of it (a stall allows 0.7), so it steps through instead of parking outside; night sim: four in, two at the door",-,-,procedural
p_cowcalm,an angry cow stays inside,mechanic,"a struck cow only charges while you are in the pasture; from outside the fence it stands and glares until it calms, instead of ramming the rails at chase speed",-,-,procedural
t_headless,headless simulation,tool,"tools/headless: an import-map loader and DOM stubs let the real game modules run under Node; cowsim.mjs runs the herd for minutes and reports worst per-frame steps, ducohead.mjs measures the skinned muzzle direction. Use these when the Browser pane is hidden or a bug only shows over time",-,-,procedural
elisia,"Elisia, the angel of the forest (good form)",character_3d,"built from a nano_banana_pro A-pose reference (white lace nightgown, white wings, gold tiara/necklace/bracelet with red gems, fists, mid-grey backdrop); Meshy image_to_3d rigged + Casual_Walk, 3d_rigging Idle merged by bone name (glb_merge_anims), glb_shrink 1536/90",2.13 m,-,nano_banana_pro -> image_to_3d (rigged) + 3d_rigging (idle) -> glb_merge_anims -> glb_shrink
elisia_evil,Elisia's dark form,character_3d,"same pipeline from an A-pose reference of the transformed angel (grey veined muscle, red eyes, fangs, black-to-red hair, black wings, torn black dress, silver tiara/necklace/cuff with red gems, claws); clips Casual_Walk + Idle + Attack (Right_Hand_Sword_Slash, id 219)",2.74 m,-,nano_banana_pro -> image_to_3d (rigged) + 3d_rigging x2 -> glb_merge_anims -> glb_shrink
ui_trexdagger,T-Rex dagger inventory icon,ui_icon,"curved serrated T-Rex tooth blade, brass guard, leather grip, keyed off a magenta background (despilled), 128x128 RGBA",128x128 RGBA,STYLE FORMULA,nano_banana_pro + PIL chroma key
ui_holywater,bottle of holy water icon,ui_icon,"round corked bottle, gold-glowing water, tiny gold cross charm; magenta key",128x128 RGBA,STYLE FORMULA,nano_banana_pro + PIL chroma key
ui_unholywater,bottle of unholy water icon,ui_icon,"round bottle with black cork, black-red glowing liquid, thorn charm; magenta key",128x128 RGBA,STYLE FORMULA,nano_banana_pro + PIL chroma key
ui_unholytiara,unholy tiara icon,ui_icon,dark tarnished silver tiara with thorn spikes and three red gems; magenta key,128x128 RGBA,STYLE FORMULA,nano_banana_pro + PIL chroma key
p_duco_straight,"Duco looks forward, in the model file",mechanic,"the mesh was sculpted with the head turned ~80 deg to his right (side photo, dog looking into the lens); every rig-side fix since update 31 measured the wrong vertices. tools/glb_straighten_head.py rotates the head vertices back about the neck with a smooth per-vertex rotation and aligns the body axis to -z; modelYaw.duco = (180 + 9.08) deg (node matrix azimuth), PLANS.dog.autoHeadYaw off. Verified: head 2.7 deg from the body axis in the game frame (tools/headless/ducohead2.mjs), viewer strip, in-game",-,-,procedural
p_clock_dial,a clock that is a clock,mechanic,"the floating CanvasTexture disc is gone: tools/glb_clock_dial.py splits the painted face panel (119 tris) into its own primitive with a planar, isotropic UV map and a 1024 px painted PNG dial (cream plate, chapter ring, minute ticks, Roman numerals I-XII with IIII, spandrels); farm.js keeps only the two hands and the pin, placed from the script's printed dial centre; pin metalness 0.25 so it no longer renders black",-,-,procedural
p_elisia,Elisia (update 35),mechanic,"once per full day, while you walk the forest, she is put down 40-70 m away out of view (ElisiaSystem, src/elisia.js). Mist thickens toward her (fog near/far/colour blended after updateEnv; grey for the dark form). Within 18 m with line of sight she sees you: 50/50 approach -> kiss cinematic (2.2 s, camera eased to her face, all bars 100, T-Rex dagger + holy water, rises and fades) or transform -> 9-ft dark form: claws 20/1.5 s, red fireballs 25 at 14 m/s aimed at where you stand (dodgeable), 600 hp, only the T-Rex dagger (50) or a T-Rex bite (60) hurt her; safe zones stop her; a T-Rex within 45 m fights her (foe state, no player toasts) and she claws it for 45; death drops unholy water + 1/64 unholy tiara, never respawns. Verified by tools/headless/elisia.mjs (38 checks) and in-game",-,-,procedural
t_elisia_harness,Elisia headless harness,tool,"tools/headless/elisia.mjs drives the real Creature + ElisiaSystem through both branches with a scripted rng: placement, sight, kiss timeline, gifts, ascent, transform, fireball hit and dodge, claws, immunity, safe zone, T-Rex ally, death drops, once-per-day, mist",-,-,procedural
duco,"Duco, built new from his own two photos",character_3d,"update 36: the update-35 mesh straightening left a twisted neck, so the same dog was rebuilt with Meshy multi_image_to_3d from the ORIGINAL side + front photos (work/u30/duco_refs.png split in two); head and neck are the photos' own; procedural dog rig, autoHeadYaw off, modelYaw 0",0.93 m,-,"multi_image_to_3d (2 views, textured) -> glb_shrink 1536/90"
remotus,Alioramus remotus,creature_3d,"grey-blue tyrannosaurid, side-view reference on grey (nano_banana_pro) -> Meshy image_to_3d textured, symmetry on; procedural theropod rig (PLANS.trex)","1.8 m tall, 5.5 m long",-,nano_banana_pro -> image_to_3d -> glb_shrink 1024/85
altai,Alioramus altai,creature_3d,"brown-orange variant of the same shape, same pipeline","1.8 m tall, 5.5 m long",-,nano_banana_pro -> image_to_3d -> glb_shrink 1024/85
cactus,saguaro cactus,prop_3d,"two-armed saguaro on grey -> image_to_3d; ~25 seeded across the desert, solid, an occluder, knife-cut for water",4.0 m,-,nano_banana_pro -> image_to_3d -> glb_shrink 1024/85
palm,date palm,prop_3d,one palm at the oasis; branches like any tree; its crown is heat shade (r 5),9.0 m,-,nano_banana_pro -> image_to_3d -> glb_shrink 1024/85
nomad,"Idris, the desert nomad",character_3d,"A-pose reference (sand robe, brown vest, white headscarf, canteen) -> image_to_3d rigged with an Idle clip; stands by his tent at the middle bridge",1.75 m,-,"nano_banana_pro -> image_to_3d (rigged, idle) -> glb_shrink 1024/85"
t_sand,desert sand ground,texture,"seamless top-down sand with wind ripples (nano_banana_pro 2k), edges cross-blended for tiling, normal map derived from luminance",1024 webp,STYLE FORMULA,nano_banana_pro + PIL
ui_waterbottle,water bottle inventory icon,ui_icon,"leather canteen with cork and strap, magenta key, despilled",128x128 RGBA,STYLE FORMULA,nano_banana_pro + PIL chroma key
p_desert,the desert biome (update 36),mechanic,"south-west corner of the map (+20%: square 763), cut off by a river traced from the user's sketch (Catmull-Rom, half-width 11) with three plank bridges; rolling dunes 2-5 m (heightfield in src/desert.js), sand mesh, river bed/water/beach ribbons; oasis pool + palm; ~25 cacti; 8 chests; Idris's tent (safe zone + shade) at the middle bridge; thirst bar (6 min) shown only in the desert, frozen in shade, kept on leaving; the one water bottle (6 min of water, only spent in the desert sun; fill at river/oasis/lake/farm taps/fountain/cactus with a knife, 20% spines); death destroys it; wind ambience; map paint; Elisia, trees and grass never on the sand; T-Rex never enters; chase music",-,-,procedural
p_alioramus,the two Alioramus,mechanic,"unkillable desert hunters confined to the sand (Creature types remotus/altai, entities.js updateAlio). remotus hears: sneak 5 / walk 10 / run 60 / swing-or-eat 45 m, packs join within 40 m. altai sees: 40 m, 120-degree cone, turns 30 deg/s, cacti and dune crests block its sight; steals cooked meat (half bite, 5 s eating, sated 25 s if you are > 20 m away). Bite 25, chase 10 m/s. Verified by tools/headless/alio.mjs (23 checks)",-,-,procedural
p_trex_unkillable,the T-Rex cannot be killed by the player,mechanic,"update 36: a thrown spear snaps off its hide (spearImmune) and only angers it; no hunt bar for it; Elisia's dark form can still kill one (drops on that path only). Bill's line, the win text and the spear's text no longer promise a T-Rex kill",-,-,procedural
